0x003E,PT_LONG,PR_NON_RECEIPT_REASON,PidTagNonReceiptReason
0x003F,PT_BINARY,PR_RECEIVED_BY_ENTRYID,PidTagReceivedByEntryId
0x0040,PT_TSTRING,PR_RECEIVED_BY_NAME,PidTagReceivedByName
0x0040,PT_STRING8,PR_RECEIVED_BY_NAME_A,PidTagReceivedByName
0x0040,PT_UNICODE,PR_RECEIVED_BY_NAME_W,PidTagReceivedByName
0x0041,PT_BINARY,PR_SENT_REPRESENTING_ENTRYID,PidTagSentRepresentingEntryId
0x0042,PT_TSTRING,PR_SENT_REPRESENTING_NAME,PidTagSentRepresentingName
0x0042,PT_STRING8,PR_SENT_REPRESENTING_NAME_A,PidTagSentRepresentingName
0x0042,PT_UNICODE,PR_SENT_REPRESENTING_NAME_W,PidTagSentRepresentingName
0x0043,PT_BINARY,PR_RCVD_REPRESENTING_ENTRYID,PidTagReceivedRepresentingEntryId
0x0044,PT_TSTRING,PR_RCVD_REPRESENTING_NAME,PidTagReceivedRepresentingName
0x0044,PT_STRING8,PR_RCVD_REPRESENTING_NAME_A,PidTagReceivedRepresentingName
0x0044,PT_UNICODE,PR_RCVD_REPRESENTING_NAME_W,PidTagReceivedRepresentingName
0x0045,PT_BINARY,PR_REPORT_ENTRYID,PidTagReportEntryId
0x0046,PT_BINARY,PR_READ_RECEIPT_ENTRYID,PidTagReadReceiptEntryId
0x0047,PT_BINARY,PR_MESSAGE_SUBMISSION_ID,PidTagMessageSubmissionId
0x0048,PT_SYSTIME,PR_PROVIDER_SUBMIT_TIME,PidTagProviderSubmitTime
0x0049,PT_TSTRING,PR_ORIGINAL_SUBJECT,PidTagOriginalSubject
0x0049,PT_STRING8,PR_ORIGINAL_SUBJECT_A,PidTagOriginalSubject
0x0049,PT_UNICODE,PR_ORIGINAL_SUBJECT_W,PidTagOriginalSubject
0x004A,PT_BOOLEAN,PR_DISC_VAL,
0x004B,PT_TSTRING,PR_ORIG_MESSAGE_CLASS,PidTagOriginalMessageClass
0x004B,PT_STRING8,PR_ORIG_MESSAGE_CLASS_A,PidTagOriginalMessageClass
0x004B,PT_UNICODE,PR_ORIG_MESSAGE_CLASS_W,PidTagOriginalMessageClass
0x004C,PT_BINARY,PR_ORIGINAL_AUTHOR_ENTRYID,PidTagOriginalAuthorEntryId
0x004D,PT_TSTRING,PR_ORIGINAL_AUTHOR_NAME,PidTagOriginalAuthorName
0x004D,PT_STRING8,PR_ORIGINAL_AUTHOR_NAME_A,PidTagOriginalAuthorName
0x004D,PT_UNICODE,PR_ORIGINAL_AUTHOR_NAME_W,PidTagOriginalAuthorName
0x004E,PT_SYSTIME,PR_ORIGINAL_SUBMIT_TIME,PidTagOriginalSubmitTime
0x004F,PT_BINARY,PR_REPLY_RECIPIENT_ENTRIES,PidTagReplyRecipientEntries
0x0050,PT_TSTRING,PR_REPLY_RECIPIENT_NAMES,PidTagReplyRecipientNames
0x0050,PT_STRING8,PR_REPLY_RECIPIENT_NAMES_A,PidTagReplyRecipientNames
0x0050,PT_UNICODE,PR_REPLY_RECIPIENT_NAMES_W,PidTagReplyRecipientNames
0x0051,PT_BINARY,PR_RECEIVED_BY_SEARCH_KEY,PidTagReceivedBySearchKey
